,county,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c,total_registers
16,BURKE,3177,4164,5,3799,4054,11,26,31,0,75,78,1,20,13,0,63,81,1,727,532,3,16861
17,BUTTS,1776,2119,5,5820,6283,12,20,33,0,109,104,0,34,17,0,88,74,1,724,693,5,17917
18,CALHOUN,781,1075,2,555,610,1,13,13,0,13,11,0,0,0,0,7,5,0,74,71,5,3236
19,CAMDEN,2699,3524,3,11213,12762,16,188,275,1,413,575,2,48,54,0,268,345,0,4053,3839,14,40292
20,CANDLER,639,800,1,2047,2294,9,12,14,0,68,107,1,4,3,0,20,15,0,342,342,5,6723
21,CARROLL,6543,7928,15,28819,31411,63,240,289,1,882,955,3,91,95,1,493,666,5,3828,3721,25,86074
22,CATOOSA,508,536,1,19143,22104,74,182,189,1,227,299,1,55,49,0,177,193,0,2820,2725,31,49315
23,CHARLTON,587,761,0,2241,2539,4,19,16,0,20,19,0,8,5,0,29,33,1,520,421,1,7224
24,CHATHAM,35698,44329,103,52534,58264,158,1780,2016,10,3021,3323,17,318,277,0,1925,2213,13,9332,9138,200,224669
25,CHATTAHOOCHEE,476,541,1,1113,1111,2,36,50,0,164,139,0,3,6,0,44,52,0,386,228,3,4355
26,CHATTOOGA,436,532,0,5582,6457,6,20,28,0,84,72,0,16,12,0,55,78,0,785,726,1,14890
27,CHEROKEE,5157,6237,13,72801,79632,131,1196,1506,4,3662,4347,14,163,186,0,1413,1518,7,10243,9702,83,198015
28,CLARKE,9172,12043,35,21848,24360,112,706,835,10,1507,1728,14,61,74,0,652,834,6,4215,3929,114,82255
29,CLAY,477,691,2,415,449,1,2,3,0,1,3,0,1,0,0,2,2,0,54,43,0,2146
30,CLAYTON,62318,80950,221,9801,11237,28,2986,2885,34,4149,4615,26,266,226,4,2253,3013,19,9144,10109,246,204530
31,CLINCH,506,684,2,1397,1515,4,5,8,0,17,18,0,5,7,0,9,17,0,141,111,0,4446
32,COBB,64208,83820,160,147258,157852,266,8844,9839,34,14648,16863,51,615,620,0,6579,8455,46,20257,21107,391,561913
33,COFFEE,2864,3914,9,7494,8666,16,70,69,0,454,470,3,21,18,0,88,89,1,765,680,9,25700
34,COLQUITT,2607,3315,5,8005,9021,20,67,70,0,634,720,0,23,18,0,104,151,1,799,737,18,26315
35,COLUMBIA,8781,10658,31,36868,40432,77,1671,2114,10,1859,2223,4,146,162,0,1081,1423,3,4860,4793,60,117256
36,COOK,1283,1753,1,3675,3950,1,26,30,0,100,111,0,5,6,0,40,42,0,171,135,0,11329
37,COWETA,6734,9272,28,35085,38543,109,549,721,2,1267,1646,8,77,69,0,636,726,7,6830,6472,66,108847
38,CRAWFORD,773,900,4,3226,3337,2,10,16,0,36,50,0,14,10,0,39,44,0,301,219,3,8984
39,CRISP,2145,3211,7,3220,3727,4,44,40,0,44,60,0,9,6,0,45,47,0,264,254,13,13140
40,DADE,36,24,0,5890,5276,10,25,33,0,52,52,1,20,13,0,25,28,2,743,572,3,12805
41,DAWSON,87,48,0,9686,10175,9,64,76,0,190,218,0,25,32,0,97,81,0,883,819,10,22500
42,DECATUR,2652,3868,4,4474,5179,7,31,40,1,130,172,1,9,26,0,54,51,0,483,381,15,17578
43,DEKALB,129022,161379,77,85419,94646,75,8481,9771,13,7318,8462,6,623,616,0,7374,9334,20,25373,25371,112,573492
44,DODGE,1253,1770,0,3914,4257,4,16,24,0,38,39,0,6,5,0,32,35,0,302,277,2,11974
45,DOOLY,1233,1689,1,1388,1527,0,11,10,0,44,63,0,0,6,0,19,15,0,116,108,2,6232
46,DOUGHERTY,18186,24659,415,7899,9097,46,158,162,1,301,279,5,53,41,1,296,344,9,2685,2373,130,67140
47,DOUGLAS,20862,27338,84,19233,21199,43,514,624,3,1919,2242,6,140,132,0,1035,1416,7,4939,5424,76,107236
48,EARLY,1551,2192,6,1740,1892,2,10,13,0,12,16,0,3,6,0,10,20,0,150,128,1,7752
49,ECHOLS,44,61,0,880,977,1,3,3,0,92,85,0,8,6,0,13,8,0,61,45,1,2288
50,EFFINGHAM,2580,3145,7,16865,17797,42,129,192,2,488,519,4,71,65,0,241,263,2,2275,2329,28,47044
51,ELBERT,1354,1932,2,4027,4582,4,33,39,1,72,77,0,3,13,0,43,56,2,382,323,17,12962
52,EMANUEL,1715,2520,4,4089,4681,6,22,25,0,58,72,0,7,8,0,40,46,0,725,624,3,14645
53,EVANS,686,1010,1,1855,2091,3,14,21,0,70,80,0,3,5,0,30,32,0,301,248,1,6451
54,FANNIN,28,27,0,9261,10085,15,20,48,0,76,93,0,31,37,1,70,58,2,580,553,5,20990
55,FAYETTE,9690,11782,44,27129,29482,92,1078,1312,11,1300,1616,6,83,83,1,823,952,3,5140,5475,67,96169
56,FLOYD,3221,4553,6,21378,24639,34,259,323,3,835,951,3,48,41,0,220,265,2,2850,2627,15,62273
57,FORSYTH,2626,3080,20,52223,57315,242,6136,6511,44,2922,3356,15,164,207,2,1534,1654,13,16500,16121,318,171003
58,FRANKLIN,454,599,0,6411,6893,5,54,55,0,90,76,1,21,5,0,45,61,1,605,499,1,15876
59,FULTON,160468,191082,707,159073,164904,706,14469,15484,152,10985,12432,72,885,780,5,9377,11160,173,46576,47223,1545,848258
60,GILMER,46,38,0,10252,10836,26,33,54,0,291,315,0,25,25,0,91,90,2,722,661,5,23512
61,GLASCOCK,54,76,0,872,989,1,2,3,0,2,1,0,0,1,0,3,5,0,54,42,0,2105
62,GLYNN,5853,7874,20,20057,23403,66,308,364,1,662,745,2,70,71,0,366,425,1,2723,2727,35,65773
63,GORDON,700,711,0,14333,15868,15,137,158,1,931,1139,2,44,44,0,164,189,0,1498,1250,7,37191
64,GRADY,1824,2505,5,4648,5410,9,25,28,0,154,153,0,16,17,0,57,77,2,466,439,3,15838
65,GREENE,1680,2267,2,4642,4991,9,40,53,1,99,96,0,4,7,0,45,48,1,444,442,8,14879
66,GWINNETT,77095,96189,590,119205,128013,544,28320,29702,282,26484,30394,232,751,721,5,9174,10855,116,30390,32195,1167,622424
67,HABERSHAM,311,332,1,11835,13135,15,204,205,0,647,580,3,19,25,0,112,125,0,1133,1031,12,29725
68,HALL,4215,5046,17,44393,48998,159,842,962,11,6599,6872,46,115,109,0,811,865,3,8256,7324,74,135717
69,HANCOCK,1869,2249,3,826,796,2,7,5,0,11,5,0,3,2,0,18,21,0,170,157,1,6145
70,HARALSON,415,436,1,9081,9919,21,48,64,0,61,58,0,22,26,0,73,67,1,695,593,4,21585
71,HARRIS,1821,2070,5,9807,10450,14,82,146,1,231,262,1,26,21,0,167,162,0,874,811,8,26959
72,HART,1100,1494,2,6512,7233,19,72,80,0,68,76,0,8,10,0,55,52,0,517,515,5,17818
73,HEARD,329,382,0,3250,3505,8,12,21,0,28,24,1,8,12,0,42,42,0,264,187,1,8116
74,HENRY,34930,45669,87,32764,35577,66,1724,1995,14,2686,3251,13,185,146,0,2706,3259,12,7752,8716,87,181639
75,HOUSTON,14712,19622,81,30649,33349,76,1092,1362,10,1281,1700,7,107,127,4,891,1105,10,4413,4078,93,114769
76,IRWIN,611,840,0,2178,2291,2,11,14,0,31,34,0,2,7,0,12,10,0,121,85,2,6251
77,JACKSON,1584,1748,5,20630,22339,43,388,402,2,884,1005,2,37,34,0,293,304,1,2395,2164,20,54280
78,JASPER,848,1015,0,4097,4269,4,13,15,0,68,64,0,8,6,0,31,23,0,158,153,0,10772
79,JEFF DAVIS,612,749,0,3198,3625,8,14,14,0,119,157,0,4,6,0,29,31,0,235,220,1,9022
80,JEFFERSON,2448,3309,10,2264,2434,3,12,18,0,23,23,0,7,7,0,26,45,1,440,421,4,11495
81,JENKINS,814,1077,1,1421,1549,4,6,6,2,14,12,0,3,3,0,6,14,0,255,179,1,5367
82,JOHNSON,735,949,0,1763,1987,3,12,7,0,7,9,0,2,1,0,10,2,0,110,96,0,5693
83,JONES,2251,2800,1,7035,7715,7,35,62,0,63,80,0,19,17,0,84,86,0,417,291,1,20964
84,LAMAR,1322,1686,0,4358,4696,4,19,27,0,50,66,0,15,15,0,59,62,0,448,417,1,13245
85,LANIER,599,686,0,2018,2370,2,15,28,0,63,73,0,12,13,0,29,43,0,181,157,2,6291
86,LAURENS,4838,6586,12,9300,10421,13,106,119,2,146,159,0,24,33,1,140,169,0,922,768,6,33765
87,LEE,2008,2629,11,8183,8934,30,169,182,2,134,166,2,28,20,0,109,86,1,888,800,19,24401
88,LIBERTY,7673,9829,24,6673,7401,9,320,456,0,1227,1468,1,43,78,0,412,611,1,2831,2486,12,41555
