,county,registered_A,registered_B,registered_C,registered_D,registered_E,registered_F,registered_G
48,EARLY,0.4836171310629515,0.46878224974200206,0.0029669762641898866,0.003611971104231166,0.0011609907120743034,0.003869969040247678,0.035990712074303405
49,ECHOLS,0.04589160839160839,0.8120629370629371,0.0026223776223776225,0.07736013986013986,0.006118881118881119,0.009178321678321678,0.046765734265734264
50,EFFINGHAM,0.12184338066490945,0.7376923730975257,0.006865912762520194,0.0214905195136468,0.002890910636850608,0.010755888104752998,0.09846101521979424
51,ELBERT,0.2536645579385897,0.6644807900015429,0.00563184693720105,0.011495139638944607,0.0012343774108933806,0.007792007406264466,0.0557012806665638
52,EMANUEL,0.2894503243427791,0.599248890406282,0.003209286445885968,0.008876749743939911,0.0010242403550699897,0.005872311369067941,0.09231819733697508
53,EVANS,0.2630599906991164,0.6121531545496822,0.005425515423965277,0.023252208959851185,0.0012401178111920632,0.00961091303673849,0.08525809951945434
54,FANNIN,0.0026202953787517864,0.922391615054788,0.0032396379228203905,0.008051453072891854,0.003287279656979514,0.006193425440686041,0.05421629347308242
55,FAYETTE,0.22373113997234037,0.5896182761596772,0.02496646528507107,0.030384011479790786,0.001736526323451424,0.018488286246087615,0.1110752945335815
56,FLOYD,0.12493375941419235,0.7395018707947264,0.009394119441812664,0.028728341335731378,0.0014291908210620975,0.00782040370626114,0.08819231448621392
57,FORSYTH,0.03348479266445618,0.641977041338456,0.07421507225019444,0.036800523967415774,0.0021812482821938796,0.01871896984263434,0.19262235165464933
58,FRANKLIN,0.0663265306122449,0.8383093978332073,0.006865709246661628,0.010519022423784328,0.00163769211388259,0.006739732930209121,0.06960191484001008
59,FULTON,0.41527106139877257,0.38276444195044435,0.035490381464130014,0.02769086763696894,0.0019687406425875145,0.024414741741309837,0.11239976516578683
60,GILMER,0.003572643756379721,0.898009527050017,0.0037002381762504255,0.025774072813882273,0.0021265736645117387,0.0077832596121129635,0.05903368492684587
61,GLASCOCK,0.06175771971496437,0.8845605700712589,0.0023752969121140144,0.0014251781472684087,0.00047505938242280285,0.003800475059382423,0.04560570071258908
62,GLYNN,0.20900673528651575,0.6617609049305946,0.010232162133398203,0.021422164109893116,0.0021437367916926396,0.012041415170358657,0.08339288157754701
63,GORDON,0.037939286386491355,0.8124546261192224,0.007958914791212928,0.055712403538490496,0.0023661638568470865,0.009491543653034337,0.0740770616547014
64,GRADY,0.27364566233110243,0.6356231847455487,0.0033463821189544133,0.019383760575830283,0.002083596413688597,0.008586942795807552,0.05733047101906807
65,GREENE,0.2654076214799382,0.6480274211976611,0.006317628872908126,0.013105719470394515,0.0007392969957658445,0.006317628872908126,0.060084683110424086
66,GWINNETT,0.27934976800380446,0.39805984345076667,0.09367248049561071,0.09175417400357312,0.002372980476331247,0.032365397221186844,0.10242535634872692
67,HABERSHAM,0.021665264928511355,0.8405382674516401,0.01375946173254836,0.041379310344827586,0.0014802354920100925,0.007973086627417999,0.07320437342304457
68,HALL,0.0683628432694504,0.6893020034336156,0.013373416742191472,0.09959695542931246,0.0016504933059233553,0.012371331520738006,0.11534295629876876
69,HANCOCK,0.670626525630594,0.264279902359642,0.001952807160292921,0.0026037428803905613,0.0008136696501220504,0.0063466232709519935,0.053376729048006506
70,HARALSON,0.03947185545517721,0.8812138058837156,0.0051887885105397265,0.00551308779244846,0.0022237665045170257,0.006532314107018763,0.059856381746583275
71,HARRIS,0.1445157461330168,0.7519195815868541,0.008494380355354427,0.018324121814607366,0.0017433881078675025,0.012203716755072518,0.06279906524722727
72,HART,0.1456953642384106,0.7724772701762262,0.008530699292849928,0.008081715119542036,0.0010102143899427545,0.006005163317993041,0.058199573465035355
73,HEARD,0.08760473139477575,0.8332922621981271,0.004066042385411533,0.0065303104977821585,0.0024642681123706258,0.010349926071956629,0.055692459339576145
74,HENRY,0.4442107697135527,0.3766096488089012,0.020551753753323902,0.03275728230170833,0.00182229587258243,0.03290592879282533,0.09114232075710613
75,HOUSTON,0.29986320347829115,0.5582866453484826,0.021469212069461265,0.026034904895921373,0.0020737307112547814,0.017478587423433157,0.07479371607315564
76,IRWIN,0.23212286034234522,0.7152455607102863,0.0039993601023836185,0.010398336266197409,0.0014397696368581027,0.0035194368900975845,0.03327467605183171
77,JACKSON,0.061477523949889465,0.7924097273397199,0.014591009579955785,0.034837877671333825,0.0013080324244657332,0.011016949152542373,0.08435887988209285
78,JASPER,0.17294838470107687,0.7770144819903453,0.0025993316004456,0.012253991830672113,0.0012996658002228,0.005012996658002228,0.028871147419235053
79,JEFF DAVIS,0.15085346929727333,0.7571491908667701,0.0031035247173575703,0.03059188649966748,0.0011084016847705607,0.006650410108623365,0.050543116825537575
80,JEFFERSON,0.5016963897346672,0.4089604175728578,0.0026098303610265334,0.004001739886907351,0.0012179208351457155,0.00626359286646368,0.07525010874293171
81,JENKINS,0.3525246879075834,0.5541270728526179,0.002608533631451463,0.004844419601267002,0.0011179429849077697,0.003726476616359232,0.0810508664058133
82,JOHNSON,0.2958018619357105,0.6592306341120675,0.0033374319339539785,0.002810468997013877,0.0005269629369401019,0.0021078517477604074,0.03618478833655366
83,JONES,0.24098454493417287,0.703921007441328,0.0046269795840488456,0.006821217324937989,0.0017172295363480253,0.008109139477199007,0.033819881701965274
84,LAMAR,0.2271045677614194,0.6838807097017743,0.0034730086825217063,0.008758021895054738,0.0022650056625141564,0.009135522838807097,0.06538316345790865
85,LANIER,0.20426005404546177,0.6978222858051184,0.006835161341599109,0.021618184708313462,0.003973931012557622,0.011444921316165951,0.05404546177078366
86,LAURENS,0.3386939138160817,0.5844513549533541,0.006722937953502147,0.0090330223604324,0.0017177550718199318,0.009151488227454464,0.050229527617355246
87,LEE,0.19048399655751813,0.7027171017581246,0.014466620220482767,0.012376541945002255,0.0019671324945698945,0.008032457686160403,0.06995614933814188
88,LIBERTY,0.4217543015280953,0.33890025267717483,0.018674046444471182,0.06487787269883287,0.002911803633738419,0.0246420406689929,0.1282396823486945
89,LINCOLN,0.2605909019853056,0.655307175238393,0.002501172424574019,0.004533375019540409,0.002188525871502267,0.0064092543379709235,0.06846959512271378
90,LONG,0.24833301581253572,0.54019813297771,0.012478567346161174,0.05486759382739569,0.0032387121356448846,0.021242141360259096,0.1196418365402934
91,LOWNDES,0.3391302229853982,0.553335038300878,0.012616759830964646,0.02586679332139856,0.003227259995372231,0.025976398377845166,0.03984752718814317
92,LUMPKIN,0.008420779893768623,0.8801226411020425,0.0044478991233752214,0.016884743274171957,0.004620633069914065,0.009500367059636396,0.07600293647709117
93,MACON,0.5891410048622366,0.34359805510534847,0.009859535386277688,0.01202052944354403,0.0005402485143165856,0.005537547271745003,0.039303079416531606
94,MADISON,0.08542713567839195,0.7984366275823562,0.010375953843290526,0.018285873813512005,0.002233389168062535,0.008561325144239717,0.07667969477014704
95,MARION,0.30062305295950154,0.6203271028037384,0.009151090342679127,0.018886292834890964,0.002141744548286604,0.007982866043613706,0.04088785046728972
96,MCDUFFIE,0.3861593010003799,0.5854121818412055,0.0036089654299100923,0.00962390781309358,0.0015195643915410916,0.004305432442699759,0.009370647081170065
97,MCINTOSH,0.2799396681749623,0.6454499748617396,0.0033182503770739064,0.008848667672197084,0.001608848667672197,0.008848667672197084,0.05198592257415787
98,MERIWETHER,0.3441202144905849,0.5675271230826786,0.0024940765681506424,0.006235191420376605,0.0018705574261129816,0.007669285447063225,0.07008355156503304
99,MILLER,0.26275631855030995,0.6948020982355746,0.001430615164520744,0.006914639961850262,0.0016690510252742013,0.0033381020505484026,0.029089175011921792
100,MITCHELL,0.4245535086485726,0.48811700182815354,0.003515679932498945,0.012023625369146394,0.0014062719729995782,0.005695401490648291,0.0646885107579806
101,MONROE,0.1943180763160338,0.7163680252529941,0.006313248537740229,0.0081236653978275,0.0021353634760003714,0.009701977532262557,0.0630396434871414
102,MONTGOMERY,0.2181308083464843,0.6998071190601438,0.002279502016482553,0.019112747676661407,0.000876731544800982,0.005435735577766088,0.05435735577766088
103,MORGAN,0.18685323787829483,0.7492352749755938,0.004490725675235925,0.009371949235274976,0.0011064106736088514,0.005401887406443215,0.04354051415554833
104,MURRAY,0.0058282991576618735,0.8509316770186336,0.0023398281289883434,0.055262486173742874,0.0014889815366289458,0.00710456904620097,0.07704415893814345
105,MUSCOGEE,0.45812270718391634,0.39837950258528554,0.01751928131950663,0.03147115745688783,0.0019353534186429418,0.02070394869869147,0.07186804933706924
106,NEWTON,0.44462651755277793,0.42010645296333954,0.0060403085939836135,0.02144608576042103,0.0017941510675198852,0.01590813946534298,0.09007834459661504
107,OCONEE,0.040773687042957994,0.8273133052644908,0.026053373009591946,0.020608439646712464,0.00107632403684827,0.00987685586754883,0.07429801513184969
108,OGLETHORPE,0.1433204215836411,0.7541662913251058,0.0030627871362940277,0.01738582109719845,0.0012611476443563643,0.009458607332672732,0.07134492388073146
109,PAULDING,0.19352226720647772,0.6628502024291498,0.007902834008097166,0.03523076923076923,0.0022672064777327933,0.017522267206477732,0.08070445344129555
110,PEACH,0.40598202293625374,0.4893067465647278,0.005837379894617213,0.030375038743671867,0.0016530633329889452,0.010899886351895857,0.05594586217584461
111,PICKENS,0.00828909759085341,0.8892609228256432,0.0040016333197223355,0.010453246222948142,0.001592486729277256,0.004736627194773377,0.08166598611678236
112,PIERCE,0.07659313725490197,0.8223039215686274,0.0035232843137254903,0.008961397058823529,0.001838235294117647,0.005131740196078431,0.08164828431372549
113,PIKE,0.08133399000914655,0.8390206149299937,0.0030957574051924293,0.0062618729332301415,0.0011960880883698022,0.0060507985646942935,0.06304087806937311
114,POLK,0.10885688498214496,0.7852686104461798,0.00333555703802535,0.027743986186869678,0.0009025624926421536,0.0093003178589648,0.06459208099517326
115,PULASKI,0.27550187693814265,0.6611718622490615,0.005222784396931615,0.008650236657417987,0.0013056960992329036,0.012404112942712583,0.03574343071650073
116,PUTNAM,0.2102407802499238,0.704967997561719,0.004449862846693082,0.015056385248399877,0.001097226455348979,0.006705272782688205,0.05748247485522706
117,QUITMAN,0.4181712288875946,0.5043680838672102,0.004076878276062901,0.008153756552125802,0.008736167734420501,0.0064065230052417,0.050087361677344205
118,RABUN,0.005584512285927029,0.8958302308265078,0.003127326880119136,0.018391660461653015,0.002308265078183172,0.00565897244973939,0.06909903201787045
119,RANDOLPH,0.5438322551862592,0.4028552308721838,0.002007584207004238,0.004238233325897837,0.0015614543832255187,0.004015168414008476,0.04149007361142092
120,RICHMOND,0.5179990960572143,0.32573844149629116,0.011352457926780635,0.019142317815648846,0.0022000372211735306,0.022332704118256986,0.10123494536463457
121,ROCKDALE,0.5344717151425161,0.29185955105249367,0.012650304247823681,0.029463999767083006,0.0021835968206830292,0.023160683611377995,0.10621014935802253
122,SCHLEY,0.1742904841402337,0.7666110183639399,0.006010016694490818,0.013689482470784642,0.000667779632721202,0.006343906510851419,0.032387312186978295
123,SCREVEN,0.3573910453688077,0.5443264171547701,0.002978258711406731,0.004665938647870545,0.0014891293557033655,0.0047652139382507695,0.08438399682319071
124,SEMINOLE,0.3080841275057509,0.6283273085770621,0.0026289845547157412,0.007558330594807755,0.0013144922773578706,0.006243838317449885,0.04584291817285573
125,SPALDING,0.3150274893097129,0.5795764610059051,0.005599674200773773,0.017980044797393607,0.001934432905721849,0.012380370596619833,0.06750152718387294
126,STEPHENS,0.09616085846746887,0.8085638380997031,0.0067197999687451165,0.010418294525186228,0.001927384487159452,0.009532739490545398,0.06667708496119186
127,STEWART,0.5747422680412371,0.3743556701030928,0.0019329896907216496,0.004188144329896907,0.0009664948453608248,0.00547680412371134,0.038337628865979384
128,SUMTER,0.4816122548753327,0.45298495301211367,0.006464229452984953,0.012602531370525286,0.0005432125590743659,0.007224727035689065,0.03856809169427997
129,TALBOT,0.5259698961204156,0.4138223447106212,0.0016959932160271359,0.006995972016111935,0.0016959932160271359,0.007843968624125503,0.04197583209667161
130,TALIAFERRO,0.54765625,0.3984375,0.00078125,0.0078125,0.0,0.00703125,0.03828125
131,TATTNALL,0.18949933191857266,0.6695747858209542,0.00377269511907569,0.03198931069716262,0.0012575650396918967,0.008724357462862532,0.09518195394168043
132,TAYLOR,0.3423982478554481,0.5814929731702866,0.0027377258623836466,0.008395692644643182,0.0005475451724767294,0.004380361379813835,0.060047453914947986
133,TELFAIR,0.31706939281288726,0.6073420074349443,0.002942998760842627,0.007280049566294919,0.0018587360594795538,0.0060408921933085506,0.057465923172242875
134,TERRELL,0.5523423944476576,0.37391555812608446,0.0031810294968189707,0.005060728744939271,0.001156737998843262,0.00708502024291498,0.05725853094274147
135,THOMAS,0.3164784155964722,0.5917685285471144,0.006312857805972459,0.010026303574191552,0.0018876682655113723,0.007891072257465574,0.06563515395327248
136,TIFT,0.2789173024575394,0.6158800751447303,0.009009699804470344,0.040217766361231456,0.0009584787026032281,0.009431430433615766,0.04558524709580953
137,TOOMBS,0.22826842837273992,0.6378650904033379,0.004925822902178952,0.03048215113583681,0.0007533611497450162,0.01060500695410292,0.08710013908205841
138,TOWNS,0.004031888573261248,0.9222028773023,0.0030239164299459362,0.008980115458627326,0.0012828736369467607,0.008247044808943461,0.05223128378997526
139,TREUTLEN,0.29394812680115273,0.6490800266016404,0.002438483706495234,0.004433606739082243,0.0011084016847705607,0.0031035247173575703,0.045887829749501216
140,TROUP,0.32102680580256704,0.5877991814694979,0.008849557522123894,0.010670895026677238,0.0011356575028391438,0.010178062525445156,0.0603398401508496
141,TURNER,0.36913326481671804,0.5649194929770469,0.004796163069544364,0.012675573826652964,0.0018842069201781431,0.005823912298732443,0.0407673860911271
142,TWIGGS,0.40421927933477053,0.5164767477671697,0.002617801047120419,0.007545426547582384,0.0020018478595626734,0.009239297813366184,0.05789959963042809
143,UNION,0.002546398315459576,0.910925028157289,0.003966505068312032,0.009793839674844523,0.0012242299593555653,0.009010332500856961,0.06253366632388228
144,UPSON,0.2578798094932306,0.6501311071868143,0.0038529458982180125,0.005725905709851768,0.0012843152994060042,0.007919944346337025,0.07320597206614224
145,WALKER,0.03213353749272143,0.8367228104983934,0.003278052146908495,0.006599236558907891,0.0015958938083633462,0.007310918932907762,0.11235955056179775
146,WALTON,0.14998562962760206,0.6885598149643478,0.009183352265728716,0.018873089082622797,0.001984479997810229,0.01309756798554751,0.11831606607634089
147,WARE,0.2502159778111217,0.6475696812622198,0.0056381575955985995,0.01063974901104897,0.001773291501841495,0.009002864547810668,0.07516027827035875
148,WARREN,0.5470063694267516,0.3913375796178344,0.0022929936305732482,0.003057324840764331,0.0015286624203821656,0.006624203821656051,0.04815286624203822
149,WASHINGTON,0.47897596189625663,0.4582868199746967,0.0025303267098310636,0.003944332812383717,0.0008186351120041676,0.004762967924387884,0.05068095557043983
150,WAYNE,0.15809622348680807,0.7346611484738748,0.004707708225556131,0.016347646145887223,0.0015002586652871186,0.007811691670977755,0.0768753233316089
151,WEBSTER,0.4391080617495712,0.5185820468839337,0.002287021154945683,0.006289308176100629,0.0005717552887364208,0.008576329331046312,0.024585477415666093
152,WHEELER,0.26504941599281223,0.6720575022461814,0.0005989817310572028,0.008385744234800839,0.0005989817310572028,0.005091344713986224,0.04821802935010482
153,WHITE,0.011673151750972763,0.8978136001482305,0.003288864183805818,0.009171762090050028,0.0023624235686492494,0.0062534741523068375,0.06943672410598481
154,WHITFIELD,0.03932433640182322,0.6882652605237287,0.009437840736437572,0.15692197694163912,0.001608722852801859,0.012172669586200733,0.09226919295736885
155,WILCOX,0.2763102725366876,0.6756813417190776,0.0041928721174004195,0.010272536687631027,0.0010482180293501049,0.005870020964360587,0.026624737945492662
156,WILKES,0.37568286874912454,0.5478358313489284,0.0049026474296119905,0.006863706401456787,0.0019610589718447964,0.007704160246533128,0.05504972685250035
157,WILKINSON,0.38900476758045294,0.5537842669845053,0.002234803337306317,0.0032777115613825984,0.0014898688915375446,0.005810488676996424,0.04439809296781883
158,WORTH,0.24660852713178294,0.6830703211517165,0.002353266888150609,0.0060215946843853825,0.0010382059800664453,0.0058831672203765225,0.055024916943521594
