,county,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G
96,MCDUFFIE,3621,6659,28,73,12,36,83
97,MCINTOSH,1868,4477,18,34,8,42,261
98,MERIWETHER,3520,6721,28,56,17,69,516
99,MILLER,609,2166,4,13,4,5,49
100,MITCHELL,3507,5027,40,62,8,24,340
101,MONROE,2760,11784,99,95,22,122,773
102,MONTGOMERY,786,2982,6,46,3,13,107
103,MORGAN,1877,9301,46,87,9,46,388
104,MURRAY,60,13764,30,680,17,89,803
105,MUSCOGEE,36091,35914,1409,2101,119,1376,4253
106,NEWTON,24035,25424,296,917,73,711,3083
107,OCONEE,871,21691,619,459,23,220,1523
108,OGLETHORPE,1039,6513,21,110,9,66,413
109,PAULDING,16323,58896,623,2691,156,1333,5672
110,PEACH,4702,6867,70,290,22,119,501
111,PICKENS,101,15760,59,144,26,71,834
112,PIERCE,561,7889,27,60,14,29,499
113,PIKE,788,9289,33,56,12,57,515
114,POLK,1655,14392,53,378,11,118,786
115,PULASKI,939,2939,25,28,4,34,91
116,PUTNAM,2174,9022,40,135,10,56,486
117,QUITMAN,457,596,4,9,7,7,38
118,RABUN,34,8897,28,116,15,46,498
119,RANDOLPH,1586,1394,4,10,4,10,77
120,RICHMOND,46496,31043,863,1282,137,1567,6140
121,ROCKDALE,24857,13695,552,1020,73,875,3872
122,SCHLEY,352,1838,9,23,1,11,50
123,SCREVEN,2166,4148,16,23,6,27,262
124,SEMINOLE,975,2748,11,25,2,22,122
125,SPALDING,8435,19355,157,411,43,285,1412
126,STEPHENS,948,10190,67,106,18,80,503
127,STEWART,1090,817,2,7,0,10,59
128,SUMTER,5362,6325,74,103,6,71,297
129,TALBOT,1856,1493,7,18,6,16,113
130,TALIAFERRO,502,396,1,4,0,4,28
131,TATTNALL,1391,6198,33,174,8,53,369
132,TAYLOR,1161,2466,7,26,3,12,163
133,TELFAIR,1267,2893,13,24,8,15,137
134,TERRELL,2221,2018,11,13,2,21,147
135,THOMAS,6133,14253,115,170,32,144,1091
136,TIFT,3504,11590,142,444,11,101,525
137,TOOMBS,2092,8060,53,216,6,81,453
138,TOWNS,22,7485,22,63,3,64,359
139,TREUTLEN,854,2127,7,10,1,6,97
140,TROUP,8522,19653,237,274,27,225,1252
141,TURNER,1208,2417,8,40,7,13,111
142,TWIGGS,1839,2360,12,23,7,30,186
143,UNION,22,14432,56,130,17,133,856
144,UPSON,3157,8968,40,53,9,88,638
145,WALKER,827,25765,97,146,41,178,2426
146,WALTON,6546,38222,354,782,75,560,4749
147,WARE,3054,10326,73,114,17,93,554
148,WARREN,1355,1193,6,9,2,12,76
149,WASHINGTON,4276,4862,15,37,4,34,269
150,WAYNE,1734,10165,53,118,16,75,663
151,WEBSTER,594,763,2,7,1,10,26
152,WHEELER,579,1621,1,18,2,12,58
153,WHITE,132,13789,51,120,31,77,685
154,WHITFIELD,1284,27684,353,4715,51,362,2506
155,WILCOX,759,2439,8,24,2,12,50
156,WILKES,1733,3042,25,22,7,29,166
157,WILKINSON,1832,2777,8,10,7,18,124
158,WORTH,1978,6959,20,41,5,48,271
