,county,fr_vote_A_a,fr_vote_A_b,fr_vote_A_c,fr_vote_B_a,fr_vote_B_b,fr_vote_B_c,fr_vote_C_a,fr_vote_C_b,fr_vote_C_c,fr_vote_D_a,fr_vote_D_b,fr_vote_D_c,fr_vote_E_a,fr_vote_E_b,fr_vote_E_c,fr_vote_F_a,fr_vote_F_b,fr_vote_F_c,fr_vote_G_a,fr_vote_G_b,fr_vote_G_c
34,COLQUITT,0.0037630000000000003,0.005155,0.004,0.0070420000000000005,0.007203,0.006,0.005522,0.006570999999999999,0.0,0.002792,0.004,0.0,0.003913000000000001,0.003889,0.0,0.004327,0.005496999999999999,0.01,0.0035670000000000003,0.004328,0.005
35,COLUMBIA,0.006399,0.007304000000000001,0.005806,0.007129000000000001,0.0072840000000000005,0.005844,0.006373,0.006717,0.006999999999999999,0.005476,0.006072999999999999,0.0,0.005342,0.005432,0.0,0.005865,0.006402,0.006667000000000001,0.005058,0.0056689999999999996,0.006333
36,COOK,0.004591,0.0058130000000000005,0.0,0.006770000000000001,0.006825,0.01,0.0065379999999999995,0.005,0.0,0.0031,0.004595,0.0,0.004,0.006667000000000001,0.0,0.0032500000000000003,0.004286,0.0,0.0039770000000000005,0.0037040000000000003,0.0
37,COWETA,0.005876,0.0071010000000000005,0.006429000000000001,0.00747,0.007672,0.007615,0.005738,0.006823999999999999,0.01,0.0060539999999999995,0.006519,0.00375,0.004935,0.006667000000000001,0.0,0.006242,0.00657,0.007143,0.00494,0.005837,0.005606
38,CRAWFORD,0.005938,0.007478,0.005,0.007077,0.007110999999999999,0.005,0.002,0.0075,0.0,0.003333,0.0036,0.0,0.005,0.004,0.0,0.006409999999999999,0.005682,0.0,0.00392,0.0052510000000000005,0.003333
39,CRISP,0.004,0.005235,0.005714,0.007401000000000001,0.007534000000000001,0.0075,0.005,0.0055000000000000005,0.0,0.005,0.005333,0.0,0.003333,0.0,0.0,0.003333,0.004255,0.0,0.0034850000000000003,0.0035830000000000002,0.003846
40,DADE,0.003333,0.004583,0.0,0.0053620000000000004,0.006809999999999999,0.005,0.0028000000000000004,0.005455,0.0,0.002692,0.005577000000000001,0.0,0.0055000000000000005,0.006923,0.0,0.0032,0.005357,0.01,0.003917,0.0051400000000000005,0.006667000000000001
41,DAWSON,0.004138,0.005417000000000001,0.0,0.0072510000000000005,0.007568,0.007778,0.005938,0.006447,0.0,0.005842000000000001,0.006239,0.0,0.0072,0.005625,0.0,0.0056700000000000006,0.006173,0.0,0.004904,0.005519,0.005
42,DECATUR,0.005203999999999999,0.006461,0.005,0.007199,0.007272,0.007143,0.006452,0.006,0.0,0.004462,0.005115999999999999,0.0,0.003333,0.006154,0.0,0.004815,0.005882000000000001,0.0,0.004244,0.004961,0.007332999999999999
43,DEKALB,0.005364,0.006631999999999999,0.005714,0.007574,0.007807999999999999,0.008133,0.006333,0.00657,0.007692,0.005489000000000001,0.0062109999999999995,0.003333,0.0039000000000000003,0.0050490000000000005,0.0,0.005214,0.006026,0.008,0.004751,0.0058530000000000006,0.0059819999999999995
