,county,voted_A,voted_B,voted_C,voted_D,voted_E,voted_F,voted_G
32,COBB,0.24472751473472454,0.5885848110073056,0.03358357576093697,0.04741077235669882,0.0017570749365990895,0.02410999238684891,0.05982625881688607
33,COFFEE,0.22752293577981653,0.7091743119266055,0.0056356487549148095,0.02470511140235911,0.0011140235910878113,0.004390563564875491,0.02745740498034076
34,COLQUITT,0.16673892846082378,0.7523691545370084,0.0051409104986063795,0.028801486528336945,0.0009910188912976153,0.007990089811087024,0.03796841127283989
35,COLUMBIA,0.16572620973218585,0.6887478546469273,0.030769610687871193,0.029238538566965885,0.0020496610650829125,0.019101359443875095,0.06436676585709171
36,COOK,0.22769753610875107,0.7342112715944492,0.004531294250920419,0.011611441517983575,0.0008496176720475786,0.004389691305579156,0.016709147550269046
37,COWETA,0.1367303334412431,0.7233667853674328,0.01047588216251214,0.023865328585302686,0.0010877306571706053,0.011382324376820978,0.09309161540951764
38,CRAWFORD,0.18499184339314845,0.7597063621533442,0.0022838499184339315,0.004893964110929853,0.0017944535073409463,0.008156606851549755,0.03817292006525286
39,CRISP,0.3154695447214986,0.6443369309018732,0.005458379853616177,0.006698920729438035,0.0003721622627465575,0.004341893065376504,0.023322168465450935
40,DADE,0.0030752774435084903,0.9033293221018853,0.003342692873378794,0.005749431742211526,0.002674154298703035,0.003342692873378794,0.07848642866693409
41,DAWSON,0.0038373460419632356,0.9116791483567493,0.005384662994367766,0.015287491489756761,0.002228136411462524,0.006498731200099028,0.05508448350560129
42,DECATUR,0.33622108637269343,0.6057350775361691,0.0038118340119552975,0.012648358312397124,0.0016460192324352421,0.004851425106124924,0.0350861994282249
43,DEKALB,0.4725702766027033,0.37170867446236994,0.031635864524188664,0.02486421857993813,0.0014851511690874095,0.025429862797767447,0.07230595186394514
44,DODGE,0.2172946263125386,0.7407041383570105,0.002964793082149475,0.003953057442865966,0.001358863495985176,0.0035824583075972825,0.030142063001852997
45,DOOLY,0.41656546028661645,0.5426281272771436,0.0017002671848433326,0.008258440612096187,0.00048579062424095217,0.003157639057566189,0.02720427495749332
46,DOUGHERTY,0.6260233753034837,0.3127717237874767,0.004404042685336796,0.006239060470893795,0.0008469312856416916,0.006916605499407148,0.04279826096776015
47,DOUGLAS,0.45633486443289323,0.39937220118360234,0.009992944462843238,0.03282984636207865,0.0018862762602773258,0.02027387003412576,0.07930999726417946
48,EARLY,0.431308679823721,0.5351599923356964,0.0024908986395861276,0.0024908986395861276,0.0011496455259628281,0.003065721402567542,0.024334163632879862
49,ECHOLS,0.03450655624568668,0.8847481021394065,0.0013802622498274672,0.037267080745341616,0.005521048999309869,0.00759144237405107,0.028985507246376812
50,EFFINGHAM,0.1172163484298564,0.7739308821208774,0.00653305980747988,0.017295250118352534,0.0024301720056809214,0.008900110462363895,0.07369417705538898
51,ELBERT,0.22583794337780672,0.7135264128430415,0.004989695194706584,0.009328560581407961,0.0011931879813428788,0.00585746827204686,0.03926673174964747
52,EMANUEL,0.24963396778916544,0.6898138464756327,0.004078644635013596,0.006483999163354947,0.0006274837900020916,0.004392386530014641,0.044969671616816566
53,EVANS,0.22860492379835873,0.704337631887456,0.003985932004689332,0.013364595545134817,0.0009378663540445487,0.007971864009378663,0.040797186400937865
54,FANNIN,0.00073771041512977,0.9370263563811951,0.0030849708269063106,0.006169941653812621,0.0027496479109382337,0.005432231238682851,0.04479914157333512
55,FAYETTE,0.2282411573337025,0.606188135945179,0.022966705890496295,0.026358413511455667,0.0014812763895618467,0.017000069218522876,0.09776424171108189
56,FLOYD,0.10495949227107725,0.798783566122557,0.008798711445536938,0.023391109935812678,0.0009856480034617881,0.005745606654326033,0.0573358655672284
57,FORSYTH,0.03157335959317757,0.6570859266211735,0.07788710831416416,0.03301200926274975,0.002069501396336444,0.017463822192132817,0.18090827262026574
58,FRANKLIN,0.04750901192346797,0.8856641094371014,0.006192808947222479,0.007856548664386728,0.0012015897957297348,0.004436639245771328,0.047139291986320365
59,FULTON,0.3558238003409313,0.4548550473189111,0.03946118446126979,0.02639088776762063,0.0013671382440332285,0.022473401481666884,0.09962854038556712
