,county,registered_A_a,registered_A_b,registered_A_c,registered_B_a,registered_B_b,registered_B_c,registered_C_a,registered_C_b,registered_C_c,registered_D_a,registered_D_b,registered_D_c,registered_E_a,registered_E_b,registered_E_c,registered_F_a,registered_F_b,registered_F_c,registered_G_a,registered_G_b,registered_G_c
13,BROOKS,0.15456613016095172,0.1941042687193842,0.0,0.2738803358992302,0.29198740377886634,0.0002624212736179146,0.0009622113365990203,0.002186843946815955,0.0,0.0072603219034289715,0.009884534639608117,0.0,0.0006123163051084675,0.001224632610216935,0.0,0.00437368789363191,0.004986004198740378,8.74737578726382e-05,0.026592022393282014,0.027029391182645208,0.0
14,BRYAN,0.059192010894235134,0.07090331366318657,0.00024209411408685126,0.3334543803903768,0.36471478287184145,0.0009078529278256923,0.00699046754425783,0.009018005749735209,6.0523528521712814e-05,0.016038735058253897,0.019155696777122106,6.0523528521712814e-05,0.0018762293841730973,0.0013920411559993947,0.0,0.007716749886518384,0.010046905734604327,6.0523528521712814e-05,0.048630655167196245,0.048751702224239676,0.0007868058707822666
15,BULLOCH,0.10107853120259347,0.13802705679433097,0.00024937137632218784,0.29371791941148356,0.32418278921884414,0.0007688950769934124,0.003865256332993911,0.004447122877745683,0.0,0.006899274744913863,0.007647388873880426,2.0780948026848984e-05,0.0008104569730471104,0.0006442093888323185,2.0780948026848984e-05,0.005361484590927038,0.006712246212672222,2.0780948026848984e-05,0.05631636915276075,0.04883522786309511,0.00037405706448328174
16,BURKE,0.18842298796038195,0.24696044125496708,0.0002965423165885772,0.22531285214400096,0.2404365102900184,0.0006523930964948698,0.0015420200462606013,0.0018385623628491786,0.0,0.004448134748828658,0.004626060138781804,5.930846331771544e-05,0.0011861692663543088,0.0007710100231303007,0.0,0.0037364331890160727,0.00480398552873495,5.930846331771544e-05,0.043117252831979126,0.031552102485024616,0.00017792538995314633
17,BUTTS,0.09912373723279568,0.11826756711503042,0.0002790645755427806,0.3248311659317966,0.3506725456270581,0.0006697549813026734,0.0011162583021711225,0.001841826198582352,0.0,0.006083607746832617,0.005804543171289836,0.0,0.001897639113690908,0.000948819556845454,0.0,0.004911536529552938,0.004130155718033153,5.581291510855612e-05,0.04040855053859463,0.03867835017022939,0.0002790645755427806
18,CALHOUN,0.24134734239802225,0.3322002472187886,0.0006180469715698393,0.1715080346106304,0.188504326328801,0.00030902348578491963,0.0040173053152039555,0.0040173053152039555,0.0,0.0040173053152039555,0.003399258343634116,0.0,0.0,0.0,0.0,0.0021631644004944375,0.0015451174289245982,0.0,0.022867737948084055,0.021940667490729295,0.0015451174289245982
19,CAMDEN,0.06698600218405638,0.08746153082497767,7.445646778516827e-05,0.27829345775836395,0.31673781395810585,0.0003971011615208974,0.004665938647870545,0.006825176213640425,2.481882259505609e-05,0.010250173731758166,0.014270822992157253,4.963764519011218e-05,0.0011913034845626924,0.0013402164201330288,0.0,0.006651444455475032,0.008562493795294352,0.0,0.10059068797776234,0.09527945994242033,0.00034746351633078526
20,CANDLER,0.09504685408299866,0.11899449650453667,0.00014874312063067083,0.3044771679309832,0.3412167187267589,0.0013386880856760374,0.00178491744756805,0.0020824036888293916,0.0,0.010114532202885617,0.01591551390748178,0.00014874312063067083,0.0005949724825226833,0.0004462293618920125,0.0,0.0029748624126134165,0.0022311468094600626,0.0,0.050870147255689425,0.050870147255689425,0.0007437156031533541
21,CARROLL,0.07601598624439436,0.09210679183028557,0.00017426865255477843,0.3348165531984107,0.3649301763598764,0.0007319283407300694,0.002788298440876455,0.0033575760392220645,1.1617910170318563e-05,0.010246996770220973,0.011095104212654227,3.485373051095569e-05,0.0010572298254989893,0.0011037014661802636,1.1617910170318563e-05,0.005727629713967052,0.007737528173432163,5.8089550851592814e-05,0.04447336013197946,0.04323024374375537,0.0002904477542579641
22,CATOOSA,0.010301125418229747,0.010868903984588868,2.0277805941397142e-05,0.38817803913616544,0.4482206225286424,0.0015005576396633885,0.0036905606813342796,0.00383250532292406,2.0277805941397142e-05,0.004603061948697151,0.0060630639764777455,2.0277805941397142e-05,0.0011152793267768428,0.00099361249112846,0.0,0.0035891716516272937,0.003913616546689648,0.0,0.05718341275473994,0.05525702119030721,0.0006286119841833114
23,CHARLTON,0.08125692137320044,0.10534330011074197,0.0,0.31021594684385384,0.35146733111849393,0.0005537098560354374,0.002630121816168328,0.0022148394241417496,0.0,0.0027685492801771874,0.002630121816168328,0.0,0.0011074197120708748,0.0006921373200442968,0.0,0.004014396456256921,0.004568106312292359,0.00013842746400885935,0.07198228128460686,0.05827796234772979,0.00013842746400885935
24,CHATHAM,0.15889152486546876,0.19730803982747955,0.00045845221192064773,0.2338284320489253,0.2593326182072293,0.000703256791101576,0.007922766380764591,0.00897320057506821,4.4509923487441523e-05,0.013446447885556085,0.014790647574876819,7.566686992865059e-05,0.0014154155669006405,0.0012329248806021303,0.0,0.008568160271332493,0.00985004606777081,5.786290053367398e-05,0.04153666059848043,0.04067316808282406,0.0008901984697488305
25,CHATTAHOOCHEE,0.10929965556831228,0.12422502870264064,0.0002296211251435132,0.2555683122847302,0.25510907003444316,0.0004592422502870264,0.008266360505166475,0.011481056257175661,0.0,0.037657864523536165,0.031917336394948335,0.0,0.0006888633754305396,0.0013777267508610792,0.0,0.010103329506314582,0.011940298507462687,0.0,0.08863375430539609,0.05235361653272101,0.0006888633754305396
26,CHATTOOGA,0.02928139691067831,0.03572867696440564,0.0,0.3748824714573539,0.4336467427803895,0.00040295500335795837,0.001343183344526528,0.001880456682337139,0.0,0.005641370047011417,0.0048354600402955,0.0,0.0010745466756212224,0.0008059100067159167,0.0,0.0036937541974479517,0.005238415043653459,0.0,0.05271994627266622,0.048757555406312963,6.71591672263264e-05
27,CHEROKEE,0.026043481554427695,0.03149761381713507,6.565159205110724e-05,0.36765396560866603,0.40215135217029013,0.0006615660429765422,0.006039946468701866,0.0076054844329975,2.0200489861879152e-05,0.018493548468550364,0.021952882357397167,7.070171451657702e-05,0.0008231699618715753,0.0009393227785773805,0.0,0.00713582304370881,0.007666085902583138,3.535085725828851e-05,0.051728404413807036,0.04899628815998788,0.0004191601646339924
28,CLARKE,0.11150689927663972,0.14641055254999696,0.0004255060482645432,0.26561303264239255,0.2961522095921221,0.0013616193544465382,0.008583064859279071,0.01015135858002553,0.00012157315664701233,0.01832107470670476,0.02100784146860373,0.00017020241930581728,0.0007415962555467752,0.0008996413591878913,0.0,0.007926569813385204,0.010139201264360829,7.29438939882074e-05,0.0512430855267157,0.04776609324661115,0.0013859339857759407
29,CLAY,0.2222739981360671,0.32199440820130476,0.0009319664492078285,0.19338303821062441,0.2092264678471575,0.00046598322460391424,0.0009319664492078285,0.0013979496738117428,0.0,0.00046598322460391424,0.0013979496738117428,0.0,0.00046598322460391424,0.0,0.0,0.0009319664492078285,0.0009319664492078285,0.0,0.02516309412861137,0.020037278657968314,0.0
