COUNTY NAME,COUNTY CODE,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN UNKOWN,TOTAL VOTERS
MCDUFFIE,97,1324,2297,0,3114,3545,0,12,16,0,27,46,0,4,8,0,15,21,0,45,38,0,10512
MCINTOSH,98,764,1104,0,2171,2303,3,7,11,0,16,18,0,3,5,0,21,21,0,139,122,0,6708
MERIWETHER,99,1310,2210,0,3215,3501,5,11,17,0,21,35,0,7,9,1,31,37,1,234,282,0,10927
MILLER,100,217,392,0,1013,1153,0,1,3,0,5,8,0,0,4,0,2,2,1,28,21,0,2850
MITCHELL,101,1246,2258,3,2354,2668,5,20,20,0,33,29,0,4,4,0,11,13,0,153,182,5,9008
MONROE,102,1112,1643,5,5640,6132,12,44,54,1,43,52,0,5,17,0,53,68,1,380,389,4,15655
MONTGOMERY,103,323,462,1,1394,1586,2,3,3,0,23,23,0,2,1,0,7,6,0,55,51,1,3943
MORGAN,104,710,1164,3,4401,4896,4,18,28,0,40,47,0,4,5,0,18,28,0,189,197,2,11754
MURRAY,105,30,30,0,6526,7228,10,10,20,0,279,399,2,8,9,0,44,45,0,403,398,2,15443
MUSCOGEE,106,13391,22676,24,16072,19796,46,577,828,4,922,1172,7,51,65,3,521,852,3,1849,2355,49,81263
NEWTON,107,9006,15028,1,11794,13623,7,125,169,2,371,545,1,35,38,0,273,437,1,1444,1633,6,54539
OCONEE,108,348,522,1,10272,11400,19,285,333,1,210,247,2,9,14,0,106,113,1,757,753,13,25406
OGLETHORPE,109,416,623,0,3099,3409,5,8,13,0,56,54,0,4,5,0,33,32,1,206,203,4,8171
PAULDING,110,6625,9675,23,27594,31241,61,236,385,2,1163,1523,5,71,84,1,557,774,2,2615,3021,36,85694
PEACH,111,1860,2838,4,3283,3574,10,26,44,0,117,173,0,13,9,0,58,61,0,229,269,3,12571
PICKENS,112,44,57,0,7482,8278,0,28,31,0,57,87,0,9,17,0,29,42,0,443,391,0,16995
PIERCE,113,221,339,1,3693,4185,11,8,18,1,23,37,0,7,7,0,18,11,0,233,258,8,9079
PIKE,114,334,454,0,4403,4877,9,12,21,0,20,36,0,9,3,0,25,32,0,259,253,3,10750
POLK,115,594,1059,2,6788,7587,17,15,38,0,150,226,2,3,8,0,57,59,2,378,406,2,17393
PULASKI,116,346,593,0,1398,1537,4,13,12,0,14,14,0,1,3,0,13,21,0,46,45,0,4060
PUTNAM,117,808,1364,2,4308,4706,8,12,28,0,58,77,0,8,2,0,28,28,0,239,245,2,11923
QUITMAN,118,178,279,0,290,306,0,2,2,0,4,5,0,3,4,0,3,4,0,20,18,0,1118
RABUN,119,15,19,0,4196,4690,11,12,16,0,52,64,0,5,10,0,23,23,0,255,241,2,9634
RANDOLPH,120,571,1013,2,676,718,0,2,2,0,6,4,0,1,3,0,4,6,0,25,50,2,3085
RICHMOND,121,17733,28625,138,14201,16783,59,328,534,1,559,721,2,55,82,0,611,950,6,2742,3299,99,87528
ROCKDALE,122,9938,14890,29,6353,7333,9,236,316,0,432,586,2,38,35,0,354,518,3,1626,2228,18,44944
SCHLEY,123,125,227,0,871,965,2,1,8,0,7,16,0,0,1,0,5,5,1,27,23,0,2284
SCREVEN,124,847,1318,1,1940,2202,6,7,9,0,13,10,0,2,4,0,15,12,0,115,146,1,6648
SEMINOLE,125,336,639,0,1315,1432,1,6,5,0,9,16,0,0,2,0,7,15,0,52,69,1,3905
SPALDING,126,3072,5353,10,9000,10339,16,59,98,0,172,239,0,24,19,0,119,166,0,629,767,16,30098
STEPHENS,127,390,558,0,4854,5330,6,28,39,0,51,54,1,8,10,0,32,48,0,233,269,1,11912
STEWART,128,425,664,1,400,416,1,1,1,0,6,1,0,0,0,0,6,3,1,25,34,0,1985
SUMTER,129,1947,3410,5,2930,3388,7,38,36,0,46,57,0,3,3,0,38,33,0,129,167,1,12238
TALBOT,130,732,1124,0,719,774,0,2,5,0,8,10,0,2,4,0,6,9,1,65,48,0,3509
TALIAFERRO,131,235,267,0,193,203,0,0,1,0,3,1,0,0,0,0,3,1,0,14,13,1,935
TATTNALL,132,543,846,2,2897,3293,8,12,21,0,58,116,0,5,3,0,27,26,0,183,182,4,8226
TAYLOR,133,442,719,0,1183,1278,5,4,3,0,9,17,0,1,2,0,5,7,0,74,88,1,3838
TELFAIR,134,487,777,3,1403,1489,1,6,7,0,7,17,0,4,4,0,5,10,0,63,67,7,4357
TERRELL,135,803,1415,3,990,1024,4,8,3,0,7,6,0,1,1,0,14,7,0,63,84,0,4433
THOMAS,136,2150,3980,3,6568,7666,19,53,62,0,59,111,0,17,15,0,64,80,0,504,584,3,21938
