county,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN
CHATTAHOOCHEE,39.08,46.03,0,40.34,42.66,0,8.33,28,0,21.95,22.3,0,33.33,50,0,22.73,38.46,0,15.54,21.05,100
CHATTOOGA,55.50,69.74,0,71.44,71.3,100,50,64.29,0,50,48.61,0,50,83.33,0,40,42.31,0,44.46,50.69,100
CHEROKEE,62.38,71.99,69.23,75.24,77.82,64.89,65.38,73.04,100,59.5,67.38,78.57,63.19,66.13,0,63.77,68.58,100,55.03,59.48,73.49
CLARKE,46.04,59.03,40,69.16,71.91,75,55.52,65.75,60,52.55,63.08,57.14,54.1,64.86,0,55.83,60.43,116.67,43.99,51.31,61.4
CLAY,53.25,65.12,50,77.11,79.96,100,0,33.33,0,100,100,0,0,0,0,0,50,0,33.33,48.84,0
CLAYTON,49.95,62.58,46.15,58.12,62.3,50,48.96,54.66,50,39.96,50.86,38.46,32.71,45.58,25,39.81,51.41,36.84,36.28,50.15,24.8
CLINCH,46.44,57.46,100,72.37,71.55,100,20,87.5,0,47.06,33.33,0,60,71.43,0,11.11,58.82,0,37.59,43.24,0
COBB,60.09,69.69,54.37,74.83,77.99,67.67,69.3,72.83,79.41,54.32,64.15,64.71,54.47,58.39,0,59.87,66.21,58.7,52.77,60.68,59.85
COFFEE,43.96,56.52,11.11,66.93,66.89,56.25,58.57,65.22,0,36.12,44.89,66.67,52.38,33.33,0,36.36,38.2,100,26.41,31.18,55.56
COLQUITT,37.63,51.55,40,70.42,72.03,60,55.22,65.71,0,27.92,40,0,39.13,38.89,0,43.27,54.97,100,35.67,43.28,50
COLUMBIA,63.99,73.04,58.06,71.29,72.84,58.44,63.73,67.17,70,54.76,60.73,0,53.42,54.32,0,58.65,64.02,66.67,50.58,56.69,63.33
COOK,45.91,58.13,0,67.7,68.25,100,65.38,50,0,31,45.95,0,40,66.67,0,32.5,42.86,0,39.77,37.04,0
COWETA,58.76,71.01,64.29,74.7,76.72,76.15,57.38,68.24,100,60.54,65.19,37.5,49.35,66.67,0,62.42,65.7,71.43,49.4,58.37,56.06
CRAWFORD,59.38,74.78,50,70.77,71.11,50,20,75,0,33.33,36,0,50,40,0,64.1,56.82,0,39.2,52.51,33.33
CRISP,40.00,52.35,57.14,74.01,75.34,75,50,55,0,50,53.33,0,33.33,0,0,33.33,42.55,0,34.85,35.83,38.46
DADE,33.33,45.83,0,53.62,68.1,50,28,54.55,0,26.92,55.77,0,55,69.23,0,32,53.57,100,39.17,51.4,66.67
DAWSON,41.38,54.17,0,72.51,75.68,77.78,59.38,64.47,0,58.42,62.39,0,72,56.25,0,56.7,61.73,0,49.04,55.19,50
DECATUR,52.04,64.61,50,71.99,72.72,71.43,64.52,60,0,44.62,51.16,0,33.33,61.54,0,48.15,58.82,0,42.44,49.61,73.33
DEKALB,53.64,66.32,57.14,75.74,78.08,81.33,63.33,65.7,76.92,54.89,62.11,33.33,39,50.49,0,52.14,60.26,80,47.51,58.53,59.82
DODGE,50.28,63.79,0,73.58,73.15,50,50,66.67,0,39.47,43.59,0,100,100,0,37.5,48.57,0,37.42,46.93,50
DOOLY,50.77,64.42,100,76.51,76.75,0,36.36,30,0,25,36.51,0,0,33.33,0,36.84,40,0,45.69,53.7,50
DOUGHERTY,43.70,57.42,16.63,63.91,66.14,30.43,44.94,52.47,0,37.21,38.71,20,30.19,34.15,0,32.09,43.31,11.11,24.84,34.98,14.62
DOUGLAS,60.11,69.87,60.71,67.05,69.89,55.81,56.81,63.94,100,50.86,58.07,33.33,41.43,55.3,0,51.88,61.37,28.57,46.77,58.28,48.68
EARLY,52.48,65.42,50,76.09,77.59,50,50,61.54,0,58.33,37.5,0,33.33,83.33,0,70,45,0,43.33,48.44,0
ECHOLS,31.82,59.02,0,68.86,69.09,100,33.33,33.33,0,26.09,35.29,0,75,33.33,0,38.46,75,0,36.07,44.44,0
EFFINGHAM,57.79,70.56,57.14,69.4,71.85,71.43,62.79,65.1,50,51.02,57.03,75,56.34,56.92,0,56.43,55.51,0,46.59,53.89,71.43
ELBERT,55.83,68.63,0,76.01,76.71,50,57.58,66.67,100,51.39,63.64,0,33.33,76.92,0,58.14,51.79,0,48.69,52.01,47.06
EMANUEL,49.04,61.27,50,74.81,75.45,83.33,77.27,88,0,43.1,51.39,0,14.29,62.5,0,52.5,45.65,0,29.79,33.97,66.67
EVANS,52.19,61.09,0,75.04,77,66.67,50,47.62,0,32.86,42.5,0,66.67,40,0,50,59.38,0,29.24,34.68,0
FANNIN,14.29,25.93,0,71.69,72.6,73.33,60,70.83,0,46.05,61.29,0,51.61,64.86,100,62.86,60.34,100,57.76,59.86,40
FAYETTE,72.98,79.65,70.45,76,78.36,73.91,65.96,71.72,63.64,62.15,67.64,50,60.24,67.47,100,64.52,72.9,100,63.09,68.89,70.15
FLOYD,49.52,60.8,50,72.02,72.26,79.41,62.55,62.23,100,50.78,57.52,66.67,45.83,46.34,0,45.45,52.08,50,40.21,46.71,80
FORSYTH,67.56,75.16,75,76.52,78.96,80.58,79.27,80.23,81.82,63.48,72.23,80,70.73,72.95,100,67.99,73.7,61.54,70.02,72.54,84.28
FRANKLIN,44.71,51.92,0,71.46,72.49,80,62.96,60,0,41.11,63.16,0,47.62,60,0,35.56,50.82,100,43.31,49.7,0
FULTON,46.09,59.37,36.92,72.72,75.04,65.44,67.71,70.46,68.42,56.02,62.11,58.33,38.64,48.33,40,54.04,60.1,45.09,51.43,59.17,41.68
GILMER,56.52,55.26,0,71.4,72.9,69.23,51.52,66.67,0,43.64,54.92,0,40,48,0,60.44,61.11,50,54.16,60.51,40
GLASCOCK,51.85,67.11,0,78.44,76.85,100,100,66.67,0,0,100,0,0,100,0,66.67,60,0,38.89,40.48,0
GLYNN,46.73,59.33,50,68.82,71.44,74.24,58.44,62.36,100,42.45,48.59,100,54.29,50.7,0,48.09,50.12,0,45.24,54.13,42.86
GORDON,48.43,63.01,0,68.71,70.19,66.67,62.77,58.86,100,48.12,55.14,100,56.82,59.09,0,48.78,47.62,0,28.97,34.48,28.57
GRADY,52.36,65.83,60,73.49,74.53,77.78,48,67.86,0,40.91,45.1,0,50,41.18,0,57.89,49.35,50,40.56,53.3,100
GREENE,52.92,70.93,0,82.7,83.25,77.78,62.5,77.36,100,44.44,65.62,0,25,71.43,0,64.44,50,100,62.39,68.55,62.5
GWINNETT,60.95,70.7,68.64,72.13,75.11,76.47,60.56,64.12,70.21,51.95,63.22,65.52,54.33,59.22,60,58.96,64.81,65.52,51.57,60.09,65.55
HABERSHAM,42.44,53.31,0,72.93,73.94,80,36.76,43.41,0,36.79,50.86,33.33,47.37,44,0,46.43,56.8,0,42.63,49.95,50
HALL,50.49,63.93,47.06,72.88,75.26,74.21,56.41,62.37,72.73,42.76,55.25,69.57,59.13,64.22,0,51.79,60.92,33.33,40.99,50.15,70.27
HANCOCK,58.80,73.68,33.33,74.94,76.26,100,57.14,80,0,63.64,40,0,100,50,0,44.44,52.38,0,42.94,50.32,100
HARALSON,45.06,57.57,0,68.2,69.54,61.9,56.25,65.62,0,52.46,60.34,0,36.36,50,0,52.05,46.27,100,36.55,45.7,75
HARRIS,66.67,75.51,80,76,77.93,71.43,64.63,67.12,100,64.94,65.65,100,73.08,76.19,0,57.49,66.05,0,56.86,62.52,50
