,tweet_id,county
320,1.3182501932763914e+18,Henry County
323,1.3183049640920596e+18,Brooks County
332,1.3183640507665736e+18,Dodge County
333,1.318364627944788e+18,Coweta County
335,1.318371806147973e+18,Dade County
345,1.3184861865418547e+18,Cobb County
346,1.3185042637824532e+18,Cobb County
347,1.31851807563384e+18,Gwinnett County
353,1.3185266187852268e+18,Cobb County
356,1.3185278444615434e+18,Cobb County
357,1.3185303644664668e+18,Cobb County
358,1.3185327059282166e+18,Cobb County
361,1.318536695625732e+18,Cobb County
363,1.3185488181247345e+18,Cobb County
364,1.318550048473518e+18,Henry County
373,1.3185818752086385e+18,Henry County
377,1.318590600246186e+18,Lumpkin County
380,1.318603308626477e+18,Cobb County
381,1.3186134192564347e+18,Cobb County
382,1.3186135871793644e+18,Henry County
387,1.3186456747542733e+18,Henry County
388,1.3186683634014085e+18,Cobb County
389,1.3186684863197594e+18,Cobb County
393,1.3187155077643305e+18,Bartow County
395,1.318724585974567e+18,Cobb County
400,1.318741503297151e+18,Dodge County
401,1.3187537498258924e+18,Dodge County
402,1.318761477440983e+18,Cobb County
405,1.3187869397896763e+18,Cobb County
407,1.3187999881352356e+18,Cobb County
409,1.3188517396264591e+18,Bartow County
416,1.3188918785579008e+18,Cobb County
422,1.318936908521767e+18,Brooks County
428,1.318958143485956e+18,Dodge County
429,1.3189589922663178e+18,Fulton County
430,1.3189626738250752e+18,Dodge County
431,1.3189651902438523e+18,Dodge County
438,1.3189916993354752e+18,Henry County
442,1.3190094209998848e+18,Gwinnett County
443,1.319009634942935e+18,Gwinnett County
449,1.319027632533635e+18,Cobb County
455,1.3190633535836529e+18,Cobb County
457,1.31907089685069e+18,Dodge County
458,1.319073727892607e+18,Cobb County
460,1.3190742138865705e+18,Cobb County
473,1.3191249627168645e+18,Long County
476,1.3191289140155105e+18,Cobb County
477,1.3191309251800678e+18,Cobb County
485,1.3191671789486817e+18,Cobb County
488,1.3191975536200376e+18,Cobb County
490,1.3192019312781107e+18,Carroll County
491,1.3192264436252344e+18,Bartow County
497,1.3192497347506053e+18,Gwinnett County
501,1.3192642942913618e+18,Long County
502,1.319264847469695e+18,Cobb County
504,1.3192684881171046e+18,Cobb County
505,1.319268733823615e+18,Cobb County
506,1.3192707029906964e+18,Cobb County
510,1.3192984766104822e+18,Henry County
514,1.3193160589526835e+18,Cobb County
518,1.3193202830823342e+18,Dodge County
519,1.319320939927044e+18,Cobb County
521,1.319338238452986e+18,Henry County
522,1.319338654721081e+18,Fulton County
525,1.319344038294786e+18,Fulton County
530,1.3193705815364854e+18,Henry County
533,1.319379060842238e+18,Fulton County
536,1.3194031399892296e+18,Dodge County
547,1.3194356330819297e+18,Gwinnett County
553,1.319441127666307e+18,Chatham County
561,1.3194458495802e+18,Cobb County
570,1.3194468572114043e+18,Cobb County
572,1.3194471821525074e+18,Cobb County
575,1.3194475267396362e+18,Liberty County
628,1.31945323383271e+18,Dodge County
630,1.3194534022339748e+18,Cobb County
632,1.3194535002549166e+18,Bartow County
636,1.3194537524584202e+18,Dodge County
641,1.319453876651688e+18,Cobb County
644,1.3194540527580037e+18,Cobb County
651,1.319454767651971e+18,Dodge County
656,1.3194553511382876e+18,Dodge County
657,1.3194554286155407e+18,Gwinnett County
660,1.319455955965313e+18,Cobb County
665,1.3194565981804175e+18,Long County
686,1.3194585883525366e+18,Cobb County
693,1.3194594113588306e+18,Cobb County
698,1.3194597437449052e+18,Long County
703,1.3194599801861898e+18,Cobb County
704,1.3194600647056097e+18,Dodge County
712,1.319460762457428e+18,Walker County
719,1.3194614024495022e+18,Dodge County
722,1.319461561073832e+18,Cobb County
724,1.3194619558165957e+18,Long County
727,1.3194622150204334e+18,Long County
731,1.3194626818170798e+18,Baldwin County
737,1.319463439706751e+18,Cobb County
739,1.3194636192817723e+18,Dodge County
745,1.3194644260560937e+18,Long County
750,1.3194649875182428e+18,Walker County
762,1.319466492690301e+18,Cobb County
767,1.319466998288601e+18,Long County
770,1.319467199128621e+18,Fulton County
772,1.3194673123790234e+18,Walker County
780,1.3194680620815073e+18,Long County
782,1.319468261126361e+18,Fannin County
784,1.3194683324169298e+18,Long County
786,1.319468424318374e+18,Henry County
788,1.319468918113735e+18,Cobb County
802,1.3194726988719596e+18,Long County
821,1.319482016027607e+18,Cobb County
822,1.3194833309167163e+18,Cobb County
828,1.319487953194881e+18,Cobb County
830,1.319488591660286e+18,Camden County
832,1.3194899956531569e+18,Camden County
836,1.3194909930502758e+18,Chattooga County
848,1.319517370126377e+18,Walker County
852,1.319564479047164e+18,Henry County
864,1.319622776836268e+18,Bartow County
866,1.3196280220187894e+18,Henry County
867,1.3196362033484882e+18,Henry County
878,1.319659874825941e+18,Lumpkin County
879,1.3196601067624407e+18,Henry County
883,1.3196727754522624e+18,Cobb County
885,1.319676913246458e+18,Cobb County
887,1.3196838263277036e+18,Cobb County
889,1.3196874259842867e+18,Cobb County
891,1.3196920705130414e+18,Henry County
892,1.319697986671313e+18,Fulton County
894,1.3197000224312566e+18,Gwinnett County
896,1.3197081751388406e+18,Henry County
899,1.3197162267471217e+18,Henry County
900,1.3197178888198676e+18,Fulton County
903,1.3197243452924436e+18,Fulton County
908,1.3197480676088586e+18,Henry County
913,1.3197564978118902e+18,Gwinnett County
916,1.3197791954011955e+18,Rockdale County
919,1.319806579651322e+18,Dodge County
923,1.3198152379908424e+18,Fulton County
928,1.3198528981682094e+18,Cobb County
929,1.3198537131047854e+18,Cobb County
932,1.3199273713953137e+18,Henry County
938,1.31997415793374e+18,Long County
